UID         PID   PPID    LWP  C NLWP STIME TTY          TIME CMD
gdm         960    957    960  0    4 11:33 tty1     00:00:00 /usr/lib/ibus/ibus-dconf
gdm         960    957    963  0    4 11:33 tty1     00:00:00 /usr/lib/ibus/ibus-dconf
gdm         960    957    970  0    4 11:33 tty1     00:00:00 /usr/lib/ibus/ibus-dconf
gdm         960    957    973  0    4 11:33 tty1     00:00:00 /usr/lib/ibus/ibus-dconf
gdm         964      1    964  0    3 11:33 tty1     00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
gdm         964      1   1067  0    3 11:33 tty1     00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
gdm         964      1   1068  0    3 11:33 tty1     00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
gdm         967    887    967  0    3 11:33 ?        00:00:00 /usr/lib/ibus/ibus-portal
gdm         967    887    968  0    3 11:33 ?        00:00:00 /usr/lib/ibus/ibus-portal
gdm         967    887    971  0    3 11:33 ?        00:00:00 /usr/lib/ibus/ibus-portal
root        980      1    980  0    3 11:33 ?        00:00:00 /usr/lib/x86_64-linux-gnu/boltd
root        980      1    983  0    3 11:33 ?        00:00:00 /usr/lib/x86_64-linux-gnu/boltd
root        980      1    985  0    3 11:33 ?        00:00:00 /usr/lib/x86_64-linux-gnu/boltd
root        981      1    981  0    3 11:33 ?        00:00:00 /usr/lib/packagekit/packagekitd
root        981      1    989  0    3 11:33 ?        00:00:00 /usr/lib/packagekit/packagekitd
root        981      1    990  0    3 11:33 ?        00:00:00 /usr/lib/packagekit/packagekitd
gdm         982    904    982  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
gdm         982    904   1070  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
gdm         982    904   1071  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
gdm         982    904   1073  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
gdm         988    904    988  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
gdm         988    904    993  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
gdm         988    904    994  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
gdm         988    904   1032  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
gdm         992    904    992  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
gdm         992    904   1058  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
gdm         992    904   1059  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
gdm         995    904    995  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-color
gdm         995    904   1054  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-color
gdm         995    904   1055  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-color
gdm         995    904   1057  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-color
gdm         996    904    996  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-datetime
gdm         996    904   1008  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-datetime
gdm         996    904   1009  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-datetime
gdm         998    904    998  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
gdm         998    904   1001  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
gdm         998    904   1003  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
gdm        1000    904   1000  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
gdm        1000    904   1044  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
gdm        1000    904   1045  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
gdm        1000    904   1046  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
gdm        1004    904   1004  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
gdm        1004    904   1051  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
gdm        1004    904   1052  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
gdm        1004    904   1065  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
gdm        1005    904   1005  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-mouse
gdm        1005    904   1007  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-mouse
gdm        1005    904   1010  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-mouse
gdm        1006    904   1006  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-power
gdm        1006    904   1048  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-power
gdm        1006    904   1050  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-power
gdm        1006    904   1053  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-power
gdm        1011    904   1011  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
gdm        1011    904   1015  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
gdm        1011    904   1019  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
gdm        1012    904   1012  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
gdm        1012    904   1014  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
gdm        1012    904   1020  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
gdm        1013    904   1013  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
gdm        1013    904   1017  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
gdm        1013    904   1022  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
gdm        1016    904   1016  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-sharing
gdm        1016    904   1023  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-sharing
gdm        1016    904   1024  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-sharing
gdm        1016    904   1025  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-sharing
gdm        1021    904   1021  0    5 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
gdm        1021    904   1027  0    5 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
gdm        1021    904   1028  0    5 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
gdm        1021    904   1033  0    5 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
gdm        1021    904   1037  0    5 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
gdm        1026    904   1026  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-sound
gdm        1026    904   1030  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-sound
gdm        1026    904   1031  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-sound
gdm        1026    904   1034  0    4 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-sound
gdm        1029    904   1029  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-wacom
gdm        1029    904   1063  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-wacom
gdm        1029    904   1064  0    3 11:33 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-wacom
gdm        1039    957   1039  0    3 11:33 tty1     00:00:00 /usr/lib/ibus/ibus-engine-simple
gdm        1039    957   1040  0    3 11:33 tty1     00:00:00 /usr/lib/ibus/ibus-engine-simple
gdm        1039    957   1041  0    3 11:33 tty1     00:00:00 /usr/lib/ibus/ibus-engine-simple
colord     1069      1   1069  0    3 11:33 ?        00:00:00 /usr/lib/colord/colord
